handle,tweet
WSJ,J&amp;J says its net drug prices overall fell last year due to discounts and rebates. Revenue still rose 6.7% https://t.co/DHBOhg4Pzd
WSJ,Cigna’s deal for Express Scripts shows that health care’s biggest players believe they can no longer go it alone https://t.co/j3TFqqeEwQ
WSJ,Opinion: This week’s primaries in Texas shattered the dream of turning the Lone Star State purple https://t.co/f3HCx5JvVf
WSJ,Disney CEO Robert Iger’s compensation could balloon well over $100 million under a new contract. Shareholders aren’… https://t.co/YWYtbjmH5Y
WSJ,"Troubled Toys 'R' Us is weighing the closure of all its stores, pushed to the brink by a weak holiday season https://t.co/VmO1pcHLXI"
WSJ,Tesla CEO Elon Musk went on Twitter to tell President Trump that China's current rules for auto makers ‘make things… https://t.co/bBaQIWYP4u
WSJ,"Natural-gas exporter Tellurian is in talks to buy drilling fields in Louisiana from Chesapeake Energy, in a bid to… https://t.co/VWyE88uvEv"
WSJ,Opinion: The remaining 11 countries are to sign a renegotiated TPP deal Thursday. U.S. companies will suffer https://t.co/Y40Vb5QQyA
WSJ,See an ad for something you were just talking about? Here's how Facebook knows what you are up to https://t.co/cObaZNERCW
WSJ,"The Oklahoma City Thunder players know her art. They did not know she lived in Japan. “Oh, amaaaaaaazing,” Steven A… https://t.co/R3Qh6YPEZs"
WSJ,Students taking the SAT this weekend might wonder: Do standardized tests really matter? Studies find that they do https://t.co/AU9PYoZcfv
WSJ,The Arizona Diamondbacks are bringing back the bullpen cart and @jasongay might be falling in love with baseball ag… https://t.co/xH6fvS1FTg
WSJ,Mexico’s antitrust watchdog has closed an investigation into a possible lack of competition among railroad operators https://t.co/jFkiBB0XDt
WSJ,"Review: “Joseph and the Amazing Technicolor Dreamcoat,” Andrew Lloyd Webber’s precocious debut, was followed by “Je… https://t.co/hjjPXBhxa0"
WSJ,"Listening to recordings sent in from the public, researchers verified more than 19,000 individual frogs. And some c… https://t.co/0Za5vYIWpz"
WSJ,Judge's ruling wraps up one of final disputes in Lehman bankruptcy case https://t.co/Rde6L3Yb8s
WSJ,"Opinion: Cryptocurrency may be a leading indicator for traditional assets such as stocks, bonds and credit https://t.co/Y6LPQ5te4J"
WSJ,Ex-Trump Campaign Chairman Paul Manafort pleads not guilty to tax and bank fraud charges https://t.co/nEQTk78GPN
WSJ,A sudden promotion in Brussels has sparked an uproar by critics of the European Commission https://t.co/7kT0wkdWwm
WSJ,"Today on Snapchat: How the videogame Fortnite became a huge hit. Plus, Coke's first-ever alcoholic beverage is comi… https://t.co/r368y33DMQ"
WSJ,"As Main Street heals, that could mean Wall Street suffers. But the economy isn’t a zero-sum game, and it could all… https://t.co/cLESNOKS7A"
WSJ,Bronfman scion sells Bel-Air manse for $85 million https://t.co/9Pe5i3DqdX
WSJ,Trump to sign order setting tariffs to take effect in 15 days; details depend on talks with allies after fierce int… https://t.co/zx5nqsNCUm
WSJ,"Opinion: A shaky market gives the central bank less room than it thought to raise rates
https://t.co/uWIa5uT0IP"
WSJ,Snap's biggest problem isn't workforce size. @djtgallagher on why layoffs don't settle the more existential questio… https://t.co/T4EYwdl9AM
WSJ,"A test for the housing market: Mortgage rates jump, hitting highest level since 2014 https://t.co/v4nUhG1TSR"
WSJ,Euro falls against dollar following ECB monetary policy meeting https://t.co/F6yDPTaXUn
WSJ,The classic Carhartt work jacket gets a patch-happy facelift courtesy Japanese designer Junya Watanabe https://t.co/pCzCfIe59U
WSJ,RT @WSJCS: Paid Program for DIT: Meet the U.K. studio collaborating with global partners to push creative boundaries. https://t.co/PrMbyCiZ…
WSJ,"A cure for obsessive trip planners: The 'surprise vacation,' where everything is planned for you, even the destinat… https://t.co/JXAtZiFyeY"
WSJ,My to-do lists 'were failing because I was using them for too many different things’ https://t.co/R0z3KFaqy8
WSJ,Opinion: Imagine the humiliation of a middle-aged mother having to ask a young son’s approval for life decisions https://t.co/0K7rkOULh4
WSJ,Kroger shares drop as the battle with Amazon cuts into profits https://t.co/kkTPqUd3VA
WSJ,Ireland paves way for vote that could broadly legalize abortion https://t.co/tOZOoyKePl
WSJ,Disney’s version of the Madeleine L’Engle young-adult novel is a magical mystery tour minus the magic and mystery https://t.co/nEgGmYNtMb
WSJ,Wednesday's East Coast storm left the region dealing with interrupted power and disrupted travel for the second tim… https://t.co/vTAuej69zn
WSJ,"The daughter of billionaire Seagram heir Charles Bronfman sold a 19,000-square-foot mansion that sits on about 4.6… https://t.co/oX9rqRYQMd"
WSJ,Opinion: Europe retaliates against U.S. exports and Republican states https://t.co/AxNuEHhc9J
WSJ,Disney CEO Robert Iger’s compensation could balloon to well over $100 million under a new contract. Shareholders ar… https://t.co/PXQ2jZVm86
WSJ,"The U.S. released results from the largest government study to date on whether cellphones cause brain cancer, and t… https://t.co/X52NnXk7gQ"
WSJ,"Here's where @ActuallyNPH would be working if he wasn't a Tony- and Emmy-winning actor
 https://t.co/JlQAxi5LGh"
WSJ,Researchers ask the public for help in recording frog mating calls--and get an earful https://t.co/TSns2ufNUG
WSJ,U.S. household wealth in the stock market climbed by $1.346 trillion in the last quarter of 2017 https://t.co/jzk5gsit5D
WSJ,President Trump said he would maintain flexibility to adjust proposed metals tariffs on a country-by-country basis https://t.co/hOcSptV7Dz
WSJ,Home prices in downtown Bentonville have jumped so much that a Walton family foundation is looking at  how to suppo… https://t.co/egT4sAUld5
WSJ,"Gentlemen, enough with the gingham shirts. We found five great alternatives https://t.co/HYBEmMnWqF"
WSJ,"A friend of Degas, a dazzling painter in her own right: Why France is only now feting Mary Cassatt https://t.co/Hk894m8oFC"
WSJ,"Today’s lava-stone producers are enhancing the stone’s natural textures and finishes, and filling in the surface wi… https://t.co/fzBrrGZjw2"
WSJ,Opinion: Another murder attempt in Britain of a former intelligence agent https://t.co/7LpzCAN0Gb
WSJ,A deal by Uber with Southeast Asia rival Grab could help Uber shore up its finances as it considers a 2019 IPO https://t.co/XBby82aOBU
WSJ,After addiction comes families' second blow: the crushing cost of rehab https://t.co/Nk2hXLKXNp https://t.co/IIthEFd4em
WSJ,An early Facebook employee and venture capitalist has snapped up a $35 million penthouse in Manhattan's Nolita neig… https://t.co/oDtF4aVqHb
WSJ,Inside a late 2016 Russian social-media campaign to torpedo Mitt Romney's candidacy to be Donald Trump's secretary… https://t.co/B18KDHdJYJ
WSJ,"Martin Shkreli, known for jacking up the prices of lifesaving drugs, is set to be sentenced Friday on federal secur… https://t.co/cQRzHZssBG"
WSJ,Opinion: A Senate bill includes a sneaky reduction in capital rules https://t.co/2cFCFCNjtu
WSJ,"Ethiopian Airlines has grown like gangbusters to become Africa's largest carrier. Now, it's taking on the U.S. https://t.co/ABiuEC9cw8"
WSJ,"Wisconsin needs workers, so it's tapping food stamp recipients https://t.co/VDmLZFAJ3c"
WSJ,Standardized tests have come under attack in recent years. But studies suggest they are useful predictors of success https://t.co/cZzrVI81rC
WSJ,Trump’s tariffs force GOP to choose between core business supporters and populist voters https://t.co/jSVox2fz7i
WSJ,"The 10-Point: @Gerardtbaker on the latest on Trump’s tariffs, Cigna’s big deal for Express Scripts and more… https://t.co/uuTeTghWSy"
WSJ,Can you hear the difference between a frog and a cricket? Neither can most people. Take our quiz to see if you can… https://t.co/ZM84TGxych
WSJ,The U.K. will  'act without hesitation' in the investigation into the poisoning of the ex-Russian spy and his daugh… https://t.co/ghyv39Lyqi
WSJ,"Trump said he will meet with metal workers and executives, but it remains unclear whether the proclamation on tarif… https://t.co/JXCgGlXAQ1"
WSJ,"'If you put tariffs against your allies, one wonders who the enemies are,' says ECB chief Mario Draghi' https://t.co/kvDXGvQqwW"
WSJ,How Trump’s trade guru Peter Navarro saw off rival Gary Cohn and won backing for metal tariff plans https://t.co/fTh3UWKLis
WSJ,Cigna agrees to buy Express Scripts for $52 billion https://t.co/7StJT05z2u https://t.co/wSY0Y3mWY7
WSJ,Bank deregulatory bill would make it free for U.S. consumers to freeze—and unfreeze—their credit reports https://t.co/RAoiVroqVh
WSJ,"A cyberattack on Turkey last week looks like North Korean groundwork for a future heist, says cyber researcher McAf… https://t.co/GVMjK3lKue"
WSJ,Your next smartphone could be about to get more expensive after Congo raised royalties on a key metal https://t.co/1poawsIbEh
WSJ,Governors press Washington for more action to tackle nation’s opioid crisis https://t.co/o2ciOY1KFn
WSJ,"If Mark Zuckerberg worked in China, he'd be a reluctant lawmaker https://t.co/2VVlyZ4FYo"
WSJ,"Welders, fabricators and other smaller manufacturers that rely on steel and aluminum  could be the hardest hit by n… https://t.co/U9dEIZwxsx"
WSJ,The Senate is voting by next week on a financial-regulatory bill. Learn about the bill's key provisions https://t.co/kYcqHwSo1g
WSJ,What do Turkey’s army and Turkish soap operas have in common? The WSJ’s @yarotrof explains https://t.co/aUcAHRfD2v
WSJ,"The tariffs are coming. Treasury Secretary Mnuchin says: ""We are definitely going to end up with these tariffs...an… https://t.co/gi36rwPM7o"
WSJ,Washington has asked China to cut the bilateral trade deficit by $100 billion--$99 billion more than what Trump twe… https://t.co/h9pY25lX4V
WSJ,Many wireless executives and security experts believe the U.S. has legitimate long-term fears over the takeover of… https://t.co/zGeyEVMf6Q
WSJ,ECB takes next step toward ending stimulus by dropping a pledge to accelerate bond purchases if necessary (Corrects… https://t.co/qkbigrJ4pK
WSJ,Why is the process for Chinese companies to list shares in China getting tougher? https://t.co/eYcQiaX8bs
WSJ,"Trump’s tariff plans would spare Canada and Mexico at the outset, and they would remain exempt if new Nafta deal is… https://t.co/i5gZwKOD0c"
WSJ,"Trump, in a tweet, asked Beijing for a plan to cut U.S. trade deficit with China by $1 billion—less than 0.3% of th… https://t.co/NDHWhJChRn"
WSJ,"Why does the Galaxy S9 have two clock apps? Samsung could have done less, done it better and made it all easier to… https://t.co/S14Vp13g8g"
WSJ,Inside the opposition against Putin: A Russian high school student who is too young to vote has vowed to oppose the… https://t.co/I0DSUIKKUn
WSJ,Officials said the pact shows some countries are eager to liberalize trade at a time when the Trump administration… https://t.co/vGZFF82U4b
WSJ,"New tax law will boost growth but not enough to offset lost tax revenue, Harvard economists find https://t.co/07JJRErM9o"
WSJ,"AmEx needs more fresh thinking from its new CEO, argues @AaronBack for Heard on the Street https://t.co/DLtnWVmv2q"
WSJ,Zeus's revenge: Developers can't count on digging in Greece until they've reckoned with archaeologists https://t.co/DLbPik7U5o
WSJ,Global stocks regain ground https://t.co/95QsR9UWBG https://t.co/iWS2Ufs4dv
WSJ,Investigation is the latest and potentially furthest-reaching fallout from the allegations of sexual abuse against… https://t.co/MLfgby7jUe
WSJ,"The arbitration order became public a day after Stormy Daniels filed a lawsuit against Trump
https://t.co/9lFrRA8a9B"
WSJ,Freezing your credit is free for all consumers in only eight states and D.C. A bill moving through Congress will ex… https://t.co/D0qgL2sV7B
WSJ,Decision time nears on John F. Kennedy International Airport’s $10 billion expansion https://t.co/qFLM2mvwpS
WSJ,“No Romney for Secretary of State! #NeverRomney” -- Inside a Russian operation to deny the 2012 GOP presidential no… https://t.co/7nAxkXBfux
WSJ,President Trump’s planned tariffs threaten a trade regime already battered by protectionism and its struggle to tam… https://t.co/Ur9KZxbETJ
WSJ,"Take an early look at the front page of The Wall Street Journal
https://t.co/5xQPDOUKJQ https://t.co/6tOGsHQqwd"
WSJ,Recent IPOs of Tencent-linked companies have drawn record subscription rates and their shares surged in value upon… https://t.co/JjoMJCEol1
WSJ,"When it  comes to trade, Brexiters and the Trump presidency have more in common than  meets the eye, argues… https://t.co/VlbxSQrrVY"
WSJ,"Coca-Cola to experiment with its first alcoholic product
https://t.co/VoVcMjwY4T"
WSJ,"The eurozone economy shows strength, but several factors could cloud the central bank’s outlook as it meets Thursday https://t.co/CI2toj35R3"
WSJ,"U.S. review of Qualcomm takeover indicates cellphone chips have become a national-security concern. Here's how:
https://t.co/NA7Ro1qyzE"
WSJ,"Once you understand how much data Facebook and its advertisers have on you, you’ll understand why they don't need t… https://t.co/84qCtlUe5X"
WSJ,"British officials said former Russian spy Sergei Skripal and his daughter were poisoned with a nerve agent
https://t.co/xSlMick95z"
WSJ,"The secret ingredient in Peet’s, Krispy Kreme and Panera: This German company
https://t.co/FwFC2fCQO7"
WSJ,"The pain of Trump’s tariffs will fall not on China but on actors that play by the rules, including Canada, Japan an… https://t.co/XKuazcrmoa"
WSJ,"China's overall trade balance widened last month, though its trade surplus with the U.S. narrowed slightly
https://t.co/FRBW46they"
WSJ,"The Maersk Honam was carrying dangerous goods, but there is 'no evidence to suggest that dangerous goods are the ca… https://t.co/BAhPDJdN25"
WSJ,FBI will take luxury yacht seized in Indonesia as it hunts billions in assets from alleged massive 1MDB fraud https://t.co/nfJU8uLcj5
WSJ,"Take an early look at the front page of The Wall Street Journal
https://t.co/5xQPDPcm8q https://t.co/h0WYgA1Mgz"
WSJ,"The Chinese yuan is up for the year. Trading volumes are not.
https://t.co/stBW5I0fgC"
WSJ,"The computerized cat gadgets will make your fat, domesticated feline feel like a hunter
https://t.co/z0HXwA4iOr"
WSJ,More than 100 Republican House members sent an urgent letter to the White House pressing for President Trump to cha… https://t.co/4sOy71Ybrx
WSJ,"With sales sliding and its NFL sponsorship behind it, Papa John’s seeks a return to 'people and pizza'
https://t.co/oFPAzA4SjB"
WSJ,"'If we see retaliation and a counter-retaliation, this could turn into a very big shock for the global economy' https://t.co/c4CQeyapFE"
WSJ,"The case for higher steel tariffs doesn’t add up––Heard on the Street
https://t.co/AiO5ylzMn2"
WSJ,"U.S. military officials offer no plan to finish the war without the hundreds of Kurdish fighters who fled, risking… https://t.co/LwmqK78QbR"
WSJ,"Health insurer Cigna is nearing a deal to buy Express Scripts, a pharmacy-benefit manager valued at $41 billion
https://t.co/hpYnlSXFap"
WSJ,"The world’s largest asset manager is trying to solve a perennial problem in global credit markets, with Asia being… https://t.co/Lzw6G4piGD"
WSJ,The high-level meeting comes as administration officials look for signs that indicate whether North Korea is seriou… https://t.co/T3128VOtVo
WSJ,"Bill Pulte, who made home-building a big business, dies at 85  https://t.co/lzARYzrr8z https://t.co/oMu5nOXfU0"
WSJ,"In an interview with WSJ, Serena Williams talks about her return to tennis after giving birth last year
https://t.co/YB1w9ihD0z"
WSJ,Univision’s board is considering replacing CEO Randy Falco and undertaking a business review that could lead to sev… https://t.co/hQuJ1TTK8I
WSJ,"Coca-Cola to experiment with its first alcoholic product
https://t.co/IV25ZEMKSX"
WSJ,"That eerily relevant ad in your feed? It’s a result of how much data we’ve given to Facebook and advertisers
https://t.co/jT8nlGvjZL"
WSJ,"Two members of Wynn Resorts board of directors said they will step down
https://t.co/N7fyWdlXBu"
WSJ,"Equanimity, a $250 million, 300-foot vessel will be turned over in a few days https://t.co/m96lQy6LvD"
WSJ,Opinion: The 1968 Kerner report on urban riots absolved blacks of responsibility and ignored real progress https://t.co/9Vgu3n8kk1
WSJ,"The arbitration order became public a day after Stormy Daniels filed a lawsuit against Trump
https://t.co/Nr4G0jCR2d"
WSJ,"President Donald Trump’s trade agenda echoes Brexiters’ concerns, Simon Nixon writes https://t.co/Sj0Q4UoJeR"
WSJ,The clash over California’s immigration laws escalated as Jeff Sessions and Jerry Brown traded barbs over the Justi… https://t.co/Mex19qJBdt
WSJ,Provisions added to Senate bank-deregulation bill clarify Fed has power to rein in foreign banks https://t.co/kXaiFHue2d
WSJ,How to spend a perfectly indulgent day in Rome—on budgets big and small https://t.co/vPJ19Mf6js
WSJ,Opinion: EU policy makers need to think carefully about what discretion the central bank should retain in a crisis https://t.co/nbtMGhLiNE
WSJ,What is JAB? You’re drinking it https://t.co/GMyA1mtoqp
WSJ,"Trade officials from the U.S., Japan and EU are set to meet in Brussels amid the steel-tariff uproar https://t.co/L3tg2nbHKA"
WSJ,Uber co-founder Travis Kalanick is planning a new venture fund focused in part on e-commerce and real estate https://t.co/GNzWLm9eny
WSJ,Signs are emerging that New York City’s perpetual housing worries may be easing https://t.co/s9tZ86twlz
WSJ,Univision board is considering replacing its CEO and exploring cost cuts to prepare for a potential sale after scra… https://t.co/bRr13ptgal
WSJ,Opinion: Policy makers need to think carefully about what discretion the central bank should retain in a crisis https://t.co/V5oOCMyY7l
WSJ,"A proposed merger of two cellphone-chip companies turned into a national-security battle, with the U.S. making clea… https://t.co/OoDZ1xY2vk"
WSJ,"Opinion: Education dollars should follow students who move frequently
https://t.co/s8V0rh7eJe"
